Node Number	Equivalent (von-Mises) Stress (MPa)
1816	10.286
1817	8.1339
1818	6.4518
1819	6.423
1820	0.41031
1821	4.7428
1822	4.6653
1823	0.63806
1824	0.74954
1825	1.5753
1826	4.1792
1827	4.2212
1828	4.5946
1829	0.46221
1830	0.42738
1831	0.39203
1832	0.39231
1833	0.45449
1834	0.42607
1835	0.42887
1836	0.43554
1837	0.43969
1838	0.45845
1839	0.4582
1840	0.44322
1841	6.2332
1842	6.2627
1843	6.2482
1844	6.3294
1845	6.4059
1846	6.5159
1847	6.624
1848	6.694
1849	0.71062
1850	0.63033
1851	0.58291
1852	0.42903
1853	0.67728
1854	0.65468
1855	0.67442
1856	0.67596
1857	0.72983
1858	0.73635
1859	0.73544
1860	0.7605
1861	0.7491
1862	0.70501
1863	0.75672
1864	0.77364
1865	0.7726
1866	0.57237
1867	0.54477
1868	0.57264
1869	0.95803
1870	0.87194
1871	0.85008
1872	0.87518
1873	0.84848
1874	0.7698
1875	0.75223
1876	0.70247
1877	0.6826
1878	0.65907
1879	0.66382
1880	0.66342
1881	0.6555
1882	0.64834
1883	0.65615
1884	0.6516
1885	0.72668
1886	0.88438
1887	0.99429
1888	1.0414
1889	1.1827
1890	1.3064
1891	1.3985
1892	2.0992
1893	2.1642
1894	2.406
1895	2.6881
1896	3.001
1897	3.177
1898	3.3093
1899	3.809
1900	3.9529
1901	4.0464
1902	3.9624
1903	3.6929
1904	3.3015
1905	2.3779
1906	2.6911
1907	3.5107
1908	4.1929
1909	6.946
1910	9.6072
1911	9.1565
1912	5.0297
1913	2.8665
1914	2.9455
1915	3.3251
1916	3.7888
1917	4.3083
1918	4.6177
1919	5.0766
1920	6.3169
1921	6.7313
1922	7.0614
1923	7.3755
1924	7.6617
1925	7.9637
1926	8.2855
1927	8.6373
1928	8.8706
1929	9.0975
1930	9.6443
1931	10.523
1932	10.753
1933	11.446
1934	11.679
1935	11.851
1936	12.349
1937	12.433
1938	12.555
1939	12.887
