Node Number	Thermal Strain (mm/mm)
1279	9.1793e-003
1280	9.1791e-003
1281	9.1794e-003
1282	9.1792e-003
1283	9.1794e-003
1284	9.1792e-003
1285	9.1793e-003
1286	9.1793e-003
1287	9.1795e-003
1288	9.1792e-003
1289	9.1794e-003
1290	9.1793e-003
1291	9.1794e-003
1292	9.1793e-003
1293	9.1795e-003
1294	9.1793e-003
1295	9.1796e-003
1296	9.1794e-003
1297	9.1797e-003
1298	9.1795e-003
1299	9.1797e-003
1300	9.1795e-003
1301	9.1798e-003
1302	9.1796e-003
1303	9.1798e-003
1304	9.1796e-003
1305	9.1799e-003
1306	9.1797e-003
1307	9.18e-003
1308	9.1798e-003
1309	9.1802e-003
1310	9.1799e-003
1311	9.1802e-003
1312	9.1801e-003
1313	9.1803e-003
1314	9.1801e-003
1315	9.1801e-003
1316	9.1802e-003
1317	9.18e-003
1318	9.18e-003
1319	9.1795e-003
1320	9.0462e-003
1321	9.0504e-003
1322	9.0509e-003
1323	9.0511e-003
1324	9.052e-003
1325	9.0523e-003
1326	9.0527e-003
1327	9.053e-003
1328	9.0536e-003
1329	9.0544e-003
1330	9.0546e-003
1331	9.0551e-003
1332	9.0552e-003
1333	9.0555e-003
1334	9.0562e-003
1335	9.0565e-003
1336	9.057e-003
1337	9.0573e-003
1338	9.0577e-003
1339	9.0584e-003
1340	9.0592e-003
1341	9.0603e-003
1342	9.0605e-003
1343	9.0612e-003
1344	9.0615e-003
1345	9.062e-003
1346	9.0629e-003
1347	9.0639e-003
1348	9.0654e-003
1349	9.0659e-003
1350	9.0669e-003
1351	9.0687e-003
1352	9.0699e-003
1353	9.0703e-003
1354	9.0714e-003
1355	9.0724e-003
1356	9.0737e-003
1357	9.0747e-003
1358	9.0752e-003
1359	9.0762e-003
1360	9.0777e-003
1361	9.0793e-003
1362	9.081e-003
1363	9.0827e-003
1364	9.0834e-003
1365	9.0844e-003
1366	9.0854e-003
1367	9.0859e-003
1368	9.0864e-003
1369	9.0876e-003
